fecha,producto,tipo,produccion_me,produccion_real,cumplimiento
2025-12-21,Fracc 2,fraccionamiento,117.0,0.0,0.0
2025-12-21,Margarinas,producto,63.0,0.0,0.0
2025-12-21,Refinería 1,refineria,280.0,0.0,0.0
2025-12-21,Refinería 2,refineria,30.0,0.0,0.0
2025-12-21,Total Oleína,total,209.0,0.0,0.0
2025-12-22,Fracc 1,fraccionamiento,92.0,0.0,0.0
2025-12-22,Fracc 2,fraccionamiento,117.0,0.0,0.0
2025-12-22,Margarinas,producto,63.0,0.0,0.0
2025-12-22,Refinería 1,refineria,355.0,0.0,0.0
2025-12-22,Refinería 2,refineria,30.0,0.0,0.0
2025-12-22,Total Oleína,total,209.0,0.0,0.0
2025-12-23,Fracc 1,fraccionamiento,92.0,0.0,0.0
2025-12-23,Fracc 2,fraccionamiento,117.0,0.0,0.0
2025-12-23,Margarinas,producto,63.0,0.0,0.0
2025-12-23,Refinería 1,refineria,355.0,0.0,0.0
2025-12-23,Refinería 2,refineria,30.0,0.0,0.0
2025-12-23,Total Oleína,total,209.0,0.0,0.0
2025-12-24,Fracc 1,fraccionamiento,92.0,0.0,0.0
2025-12-24,Fracc 2,fraccionamiento,117.0,0.0,0.0
2025-12-24,Margarinas,producto,63.0,0.0,0.0
2025-12-24,Refinería 1,refineria,355.0,0.0,0.0
2025-12-24,Refinería 2,refineria,30.0,0.0,0.0
2025-12-24,Total Oleína,total,209.0,0.0,0.0
2025-12-25,Fracc 1,fraccionamiento,92.0,0.0,0.0
2025-12-25,Fracc 2,fraccionamiento,117.0,0.0,0.0
2025-12-25,Refinería 1,refineria,355.0,0.0,0.0
2025-12-25,Refinería 2,refineria,30.0,0.0,0.0
2025-12-25,Total Oleína,total,209.0,0.0,0.0
2025-12-26,Fracc 1,fraccionamiento,92.0,0.0,0.0
2025-12-26,Fracc 2,fraccionamiento,117.0,0.0,0.0
2025-12-26,Margarinas,producto,50.4,0.0,0.0
2025-12-26,Refinería 1,refineria,355.0,0.0,0.0
2025-12-26,Refinería 2,refineria,30.0,0.0,0.0
2025-12-26,Total Oleína,total,209.0,0.0,0.0
2025-12-27,Fracc 1,fraccionamiento,92.0,0.0,0.0
2025-12-27,Fracc 2,fraccionamiento,117.0,0.0,0.0
2025-12-27,Refinería 1,refineria,355.0,0.0,0.0
2025-12-27,Refinería 2,refineria,30.0,0.0,0.0
2025-12-27,Total Oleína,total,209.0,0.0,0.0
2025-12-28,Fracc 1,fraccionamiento,92.0,0.0,0.0
2025-12-28,Fracc 2,fraccionamiento,117.0,0.0,0.0
2025-12-28,Refinería 1,refineria,280.0,0.0,0.0
2025-12-28,Refinería 2,refineria,30.0,0.0,0.0
2025-12-28,Total Oleína,total,209.0,0.0,0.0
2025-12-29,Fracc 1,fraccionamiento,92.0,0.0,0.0
2025-12-29,Fracc 2,fraccionamiento,117.0,0.0,0.0
2025-12-29,Refinería 1,refineria,355.0,0.0,0.0
2025-12-29,Refinería 2,refineria,30.0,0.0,0.0
2025-12-29,Total Oleína,total,209.0,0.0,0.0
2025-12-30,Fracc 1,fraccionamiento,92.0,0.0,0.0
2025-12-30,Fracc 2,fraccionamiento,117.0,0.0,0.0
2025-12-30,Refinería 1,refineria,355.0,0.0,0.0
2025-12-30,Refinería 2,refineria,30.0,0.0,0.0
2025-12-30,Total Oleína,total,209.0,0.0,0.0
2025-12-31,Fracc 1,fraccionamiento,50.0,0.0,0.0
2025-12-31,Fracc 2,fraccionamiento,50.0,0.0,0.0
2025-12-31,Refinería 1,refineria,100.0,0.0,0.0
2025-12-31,Refinería 2,refineria,10.0,0.0,0.0
2025-12-31,Total Oleína,total,100.0,0.0,0.0
